,link,title,canal_nome,canal_link,view_counts,video_date,like,dislike
1548,https://www.youtube.com/watch?v=rsN690cfWsM,Meet our machine learning makers,Google,https://www.youtube.com/channel/UCK8sQmJBp8GCxrOtXWBpyEA,268324.0,8 de nov. de 2017,"4.361 marcações ""Gostei""","332 marcações ""Não gostei"""
1549,https://www.youtube.com/watch?v=rsNAb1KmvFI,Live 15 hour Session In Implementing End To End Data Science Projects- Community Event,Krish Naik,https://www.youtube.com/channel/UCNU_lfiiWBdtULKOw6X0Dig,87012.0,,"2.674 marcações ""Gostei""","53 marcações ""Não gostei"""
1550,https://www.youtube.com/watch?v=rtzUHuGOZ7o,How to Launch a Kaggle In-Class Data Science Competition,Jeff Heaton,https://www.youtube.com/channel/UCR1-GEpyOPzT2AO4D_eifdw,1280.0,18 de mar. de 2020,"32 marcações ""Gostei""","1 marcação ""Não gostei"""
1551,https://www.youtube.com/watch?v=rxXrs4HRDVs,What Do A Data Scientist Do?,Krish Naik,https://www.youtube.com/channel/UCNU_lfiiWBdtULKOw6X0Dig,19168.0,16 de ago. de 2019,"721 marcações ""Gostei""","6 marcações ""Não gostei"""
1552,https://www.youtube.com/watch?v=s0S6HFdPtlA,Eric J. Ma - An Attempt At Demystifying Bayesian Deep Learning,PyData,https://www.youtube.com/channel/UCOjD18EJYcsBog4IozkF_7w,38835.0,21 de dez. de 2017,"1.191 marcações ""Gostei""","10 marcações ""Não gostei"""
1553,https://www.youtube.com/watch?v=sA3EY5Hq6-E,Graph Data Science with Neo4j Graph Algorithms - Will Lyon,Neo4j,https://www.youtube.com/channel/UCvze3hU6OZBkB1vkhH2lH9Q,3255.0,12 de jun. de 2020,"65 marcações ""Gostei""","2 marcações ""Não gostei"""
1554,https://www.youtube.com/watch?v=sE99cSoFOHs,Artificial intelligence and machine learning with SQL Server 2019,#AnnaThomas,https://www.youtube.com/hashtag/annathomas,13842.0,24 de mai. de 2019,"212 marcações ""Gostei""","6 marcações ""Não gostei"""
1555,https://www.youtube.com/watch?v=sEJHyuWKd-s,Kaggle Lingo | Kaggle,Kaggle,https://www.youtube.com/channel/UCSNeZleDn9c74yQc-EKnVTA,17065.0,29 de jul. de 2019,"479 marcações ""Gostei""","2 marcações ""Não gostei"""
1556,https://www.youtube.com/watch?v=sEtQUnVA4wQ,Data Science for Beginners | Data Science Training | Intellipaat,#DataScienceforBeginners,https://www.youtube.com/hashtag/datascienceforbeginners,78811.0,28 de set. de 2019,"2.578 marcações ""Gostei""","48 marcações ""Não gostei"""
1557,https://www.youtube.com/watch?v=sF24xXGlOAI,Pavel Pleskov | Kaggle Grandmaster Interview | Kaggle Days,Kaggle,https://www.youtube.com/channel/UCSNeZleDn9c74yQc-EKnVTA,8532.0,13 de jun. de 2019,"181 marcações ""Gostei""","15 marcações ""Não gostei"""
1558,https://www.youtube.com/watch?v=sHFdK5vtGiE,,,,,,,
1559,https://www.youtube.com/watch?v=sLAthlX816c,Getting Started on Kaggle: Python coding in Kernels | Kaggle,Kaggle,https://www.youtube.com/channel/UCSNeZleDn9c74yQc-EKnVTA,31007.0,16 de out. de 2018,"316 marcações ""Gostei""","10 marcações ""Não gostei"""
1560,https://www.youtube.com/watch?v=sPigWzABj9c,How to Become a Data Scientist in the United States,#HowToBecomeADataScientistInTheUnitedStates,https://www.youtube.com/hashtag/howtobecomeadatascientistintheunitedstates,8413.0,19 de jan. de 2021,"214 marcações ""Gostei""","2 marcações ""Não gostei"""
1561,https://www.youtube.com/watch?v=sPqrhIEhLTU,Qu'est-ce que le machine learning? IA #2 | Ex Materiae,Ex Materiae,https://www.youtube.com/channel/UC5-Gx0ueVuNRM1pC-pzEoSg,13921.0,24 de mai. de 2019,"791 marcações ""Gostei""","19 marcações ""Não gostei"""
1562,https://www.youtube.com/watch?v=sQ1qv7b-YOs,Winner's interview: Dark of the Moon - 1st in Tweet Sentiment Extraction Competition | Kaggle,Kaggle,https://www.youtube.com/channel/UCSNeZleDn9c74yQc-EKnVTA,6395.0,13 de out. de 2020,"125 marcações ""Gostei""","Sem marcações ""Não gostei"""
1563,https://www.youtube.com/watch?v=sSAfZW47n4o,Как запустить свой проект машинного обучения с помощью платформы Kaggle.com,Теплица социальных технологий,https://www.youtube.com/channel/UC1x_-EljxkqU5WjfpkEjq_w,2558.0,28 de set. de 2017,"97 marcações ""Gostei""","7 marcações ""Não gostei"""
